title,price_gbp,price_inr,rating,in_stock,category
Maude (1883-1993):She Grew Up with the country,18.02,1982.2,2,True,Unknown
"In a Dark, Dark Wood",19.63,2159.3,1,True,Unknown
Behind Closed Doors,52.22,5744.2,4,True,Unknown
You can't bury them all: Poems,33.63,3699.3,2,True,Unknown
Slow States of Collapse: Poems,57.31,6304.1,3,True,Unknown
Reasons to Stay Alive,26.41,2905.1,2,True,Unknown
Private Paris (Private #10),47.61,5237.1,5,True,Unknown
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2542.1,5,True,Unknown
Without Borders (Wanderlove #1),45.07,4957.7,2,True,Unknown
When We Collided,31.77,3494.7,1,True,Unknown
"We Love You, Charlie Freeman",50.27,5529.7,5,True,Unknown
Untitled Collection: Sabbath Poems 2014,14.27,1569.7,4,True,Unknown
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4859.8,4,True,Unknown
Unicorn Tracks,18.78,2065.8,3,True,Unknown
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,2807.2,1,True,Unknown
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1790.8,1,True,Unknown
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3423.2,3,True,Unknown
This One Summer,19.49,2143.9,4,True,Unknown
Thirst,17.27,1899.7,5,True,Unknown
The Torch Is Passed: A Harding Family Story,19.09,2099.9,1,True,Unknown
The Secret of Dreadwillow Carse,56.13,6174.3,1,True,Unknown
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,6205.1,1,True,Unknown
The Past Never Ends,56.5,6215.0,4,True,Unknown
The Natural History of Us (The Fine Art of Pretending #2),45.22,4974.2,3,True,Unknown
The Nameless City (The Nameless City #1),38.16,4197.6,4,True,Unknown
The Murder That Never Was (Forensic Instincts #5),54.11,5952.1,3,True,Unknown
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4725.6,4,True,Unknown
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,2627.9,4,True,Unknown
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1844.7,3,True,Unknown
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2264.9,5,True,Unknown
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,4084.3,1,True,Unknown
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,6166.6,1,True,Unknown
The Death of Humanity: and the Case for Life,58.11,6392.1,4,True,Unknown
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,5395.5,3,True,Unknown
The Art Forger,40.76,4483.6,3,True,Unknown
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,2170.3,1,True,Unknown
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,3546.4,5,True,Unknown
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4601.3,4,True,Unknown
Soul Reader,39.58,4353.8,2,True,Unknown
Security,39.25,4317.5,2,True,Unknown
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,2752.2,3,True,Unknown
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5614.4,2,True,Unknown
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2181.3,2,True,Unknown
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5544.0,3,True,Unknown
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1497.1,5,True,Unknown
Princess Between Worlds (Wide-Awake Princess #5),13.34,1467.4,5,True,Unknown
"Pop Gun War, Volume 1: Gift",18.97,2086.7,1,True,Unknown
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,3990.8,2,True,Unknown
Patience,10.16,1117.6,3,True,Unknown
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1698.4,4,True,Unknown
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5325.1,1,True,Unknown
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,5098.5,1,True,Unknown
On a Midnight Clear,14.07,1547.7,3,True,Unknown
Obsidian (Lux #1),14.86,1634.6,2,True,Unknown
My Paris Kitchen: Recipes and Stories,33.37,3670.7,2,True,Unknown
Masks and Shadows,56.4,6204.0,2,True,Unknown
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,1542.2,4,True,Unknown
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,5160.1,2,True,Unknown
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,5017.1,3,True,Unknown
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2191.2,2,True,Unknown
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,4412.1,1,True,Unknown
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,5929.0,2,True,Unknown
Join,35.67,3923.7,5,True,Unknown
In the Country We Love: My Family Divided,22.0,2420.0,4,True,Unknown
